X, Y, Psi
0.15000, 0.05000, 0.49941
0.17000, 0.05000, 0.54097
0.19000, 0.05000, 0.57397
0.21000, 0.05000, 0.59792
0.23000, 0.05000, 0.61246
0.25000, 0.05000, 0.61734
0.27000, 0.05000, 0.61248
0.29000, 0.05000, 0.59795
0.31000, 0.05000, 0.57400
0.33000, 0.05000, 0.54099
0.35000, 0.05000, 0.49944
0.37000, 0.05000, 0.45002
0.39000, 0.05000, 0.39351
0.41000, 0.05000, 0.33080
0.43000, 0.05000, 0.26286
0.45000, 0.05000, 0.19077
0.47000, 0.05000, 0.11567
0.49000, 0.05000, 0.03876
0.51000, 0.05000, -0.03876
0.53000, 0.05000, -0.11567
0.55000, 0.05000, -0.19077
0.57000, 0.05000, -0.26286
0.59000, 0.05000, -0.33080
0.61000, 0.05000, -0.39351
0.63000, 0.05000, -0.45002
0.65000, 0.05000, -0.49944
0.67000, 0.05000, -0.54099
0.69000, 0.05000, -0.57400
0.71000, 0.05000, -0.59795
0.73000, 0.05000, -0.61248
0.75000, 0.05000, -0.61734
0.77000, 0.05000, -0.61246
0.79000, 0.05000, -0.59792
0.81000, 0.05000, -0.57397
0.83000, 0.05000, -0.54097
0.85000, 0.05000, -0.49941
0.87000, 0.05000, -0.44998
0.89000, 0.05000, -0.39344
0.91000, 0.05000, -0.33071
0.93000, 0.05000, -0.26275
0.95000, 0.05000, -0.19066
0.97000, 0.05000, -0.11559
0.99000, 0.05000, -0.03865
1.00000, 0.05000, -0.00000
0.00000, 0.07000, 0.00000
0.01000, 0.07000, 0.05327
0.03000, 0.07000, 0.15929
0.05000, 0.07000, 0.26275
0.07000, 0.07000, 0.36209
0.09000, 0.07000, 0.45574
0.11000, 0.07000, 0.54220
0.13000, 0.07000, 0.62010
0.15000, 0.07000, 0.68823
0.17000, 0.07000, 0.74549
0.19000, 0.07000, 0.79098
0.21000, 0.07000, 0.82398
0.23000, 0.07000, 0.84401
0.25000, 0.07000, 0.85074
0.27000, 0.07000, 0.84404
0.29000, 0.07000, 0.82402
0.31000, 0.07000, 0.79101
0.33000, 0.07000, 0.74552
0.35000, 0.07000, 0.68827
0.37000, 0.07000, 0.62016
0.39000, 0.07000, 0.54229
0.41000, 0.07000, 0.45587
0.43000, 0.07000, 0.36225
0.45000, 0.07000, 0.26290
0.47000, 0.07000, 0.15940
0.49000, 0.07000, 0.05341
0.51000, 0.07000, -0.05341
0.53000, 0.07000, -0.15940
0.55000, 0.07000, -0.26290
0.57000, 0.07000, -0.36225
0.59000, 0.07000, -0.45587
0.61000, 0.07000, -0.54229
0.63000, 0.07000, -0.62016
0.65000, 0.07000, -0.68827
0.67000, 0.07000, -0.74552
0.69000, 0.07000, -0.79101
0.71000, 0.07000, -0.82402
0.73000, 0.07000, -0.84404
0.75000, 0.07000, -0.85074
0.77000, 0.07000, -0.84401
0.79000, 0.07000, -0.82398
0.81000, 0.07000, -0.79098
0.83000, 0.07000, -0.74549
0.85000, 0.07000, -0.68823
0.87000, 0.07000, -0.62010
0.89000, 0.07000, -0.54220
0.91000, 0.07000, -0.45574
0.93000, 0.07000, -0.36209
0.95000, 0.07000, -0.26275
0.97000, 0.07000, -0.15929
0.99000, 0.07000, -0.05327
1.00000, 0.07000, -0.00000
0.00000, 0.09000, 0.00000
0.01000, 0.09000, 0.06704
0.03000, 0.09000, 0.20048
0.05000, 0.09000, 0.33071
0.07000, 0.09000, 0.45574
0.09000, 0.09000, 0.57360
0.11000, 0.09000, 0.68242
0.13000, 0.09000, 0.78048
0.15000, 0.09000, 0.86623
0.17000, 0.09000, 0.93830
0.19000, 0.09000, 0.99555
0.21000, 0.09000, 1.03709
0.23000, 0.09000, 1.06230
0.25000, 0.09000, 1.07077
0.27000, 0.09000, 1.06233
0.29000, 0.09000, 1.03714
0.31000, 0.09000, 0.99560
0.33000, 0.09000, 0.93834
0.35000, 0.09000, 0.86627
0.37000, 0.09000, 0.78055
0.39000, 0.09000, 0.68254
0.41000, 0.09000, 0.57377
0.43000, 0.09000, 0.45593
0.45000, 0.09000, 0.33089
0.47000, 0.09000, 0.20063
0.49000, 0.09000, 0.06722
0.51000, 0.09000, -0.06722
0.53000, 0.09000, -0.20063
0.55000, 0.09000, -0.33089
0.57000, 0.09000, -0.45593
0.59000, 0.09000, -0.57377
0.61000, 0.09000, -0.68254
0.63000, 0.09000, -0.78055
0.65000, 0.09000, -0.86627
0.67000, 0.09000, -0.93834
0.69000, 0.09000, -0.99560
0.71000, 0.09000, -1.03714
0.73000, 0.09000, -1.06233
0.75000, 0.09000, -1.07077
0.77000, 0.09000, -1.06230
0.79000, 0.09000, -1.03709
0.81000, 0.09000, -0.99555
0.83000, 0.09000, -0.93830
0.85000, 0.09000, -0.86623
0.87000, 0.09000, -0.78048
0.89000, 0.09000, -0.68242
0.91000, 0.09000, -0.57360
0.93000, 0.09000, -0.45574
0.95000, 0.09000, -0.33071
0.97000, 0.09000, -0.20048
0.99000, 0.09000, -0.06704
1.00000, 0.09000, -0.00000
0.00000, 0.11000, 0.00000
0.01000, 0.11000, 0.07976
0.03000, 0.11000, 0.23852
0.05000, 0.11000, 0.39344
0.07000, 0.11000, 0.54220
0.09000, 0.11000, 0.68242
0.11000, 0.11000, 0.81189
0.13000, 0.11000, 0.92855
0.15000, 0.11000, 1.03056
0.17000, 0.11000, 1.11631
0.19000, 0.11000, 1.18442
0.21000, 0.11000, 1.23384
0.23000, 0.11000, 1.26383
0.25000, 0.11000, 1.27390
0.27000, 0.11000, 1.26387
0.29000, 0.11000, 1.23390
0.31000, 0.11000, 1.18448
0.33000, 0.11000, 1.11636
0.35000, 0.11000, 1.03062
0.37000, 0.11000, 0.92864
0.39000, 0.11000, 0.81203
0.41000, 0.11000, 0.68262
0.43000, 0.11000, 0.54243
0.45000, 0.11000, 0.39367
0.47000, 0.11000, 0.23869
0.49000, 0.11000, 0.07997
0.51000, 0.11000, -0.07997
0.53000, 0.11000, -0.23869
0.55000, 0.11000, -0.39367
0.57000, 0.11000, -0.54243
0.59000, 0.11000, -0.68262
0.61000, 0.11000, -0.81203
0.63000, 0.11000, -0.92864
0.65000, 0.11000, -1.03062
0.67000, 0.11000, -1.11636
0.69000, 0.11000, -1.18448
0.71000, 0.11000, -1.23390
0.73000, 0.11000, -1.26387
0.75000, 0.11000, -1.27390
0.77000, 0.11000, -1.26383
0.79000, 0.11000, -1.23384
0.81000, 0.11000, -1.18442
0.83000, 0.11000, -1.11631
0.85000, 0.11000, -1.03056
