time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-05 00:00:00+00:00,136,57,124,18
2025-12-06 00:00:00+00:00,16,8,26,4
2025-12-07 00:00:00+00:00,39,12,14,5
2025-12-08 00:00:00+00:00,39,24,251,13
2025-12-09 00:00:00+00:00,14,8,27,5
2025-12-10 00:00:00+00:00,25,12,81,13
2025-12-11 00:00:00+00:00,18,10,40,7
2025-12-12 00:00:00+00:00,43,15,58,4
2025-12-13 00:00:00+00:00,7,3,2,1
2025-12-14 00:00:00+00:00,17,9,36,10
2025-12-15 00:00:00+00:00,50,22,140,6
2025-12-16 00:00:00+00:00,43,17,148,18
2025-12-17 00:00:00+00:00,115,37,107,7
2025-12-18 00:00:00+00:00,49,14,84,8
