referrer,views_total,views_unique
github.com,141,35
Google,69,15
Bing,13,2
chatgpt.com,11,2
mathworks.sharepoint.com,7,1
mole-docs.readthedocs.io,6,3
mole-ose.org,4,3
zenodo.org,3,1
pypi.org,1,1
