time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-29 00:00:00+00:00,7,3,7,6
2025-12-30 00:00:00+00:00,11,5,3,3
2025-12-31 00:00:00+00:00,8,4,5,5
2026-01-01 00:00:00+00:00,21,8,8,5
2026-01-02 00:00:00+00:00,45,10,18,6
2026-01-03 00:00:00+00:00,39,25,2,1
2026-01-04 00:00:00+00:00,8,4,20,4
2026-01-05 00:00:00+00:00,39,7,25,6
2026-01-06 00:00:00+00:00,10,7,52,10
2026-01-07 00:00:00+00:00,9,4,50,9
2026-01-08 00:00:00+00:00,3,3,11,3
2026-01-09 00:00:00+00:00,17,8,34,6
2026-01-10 00:00:00+00:00,2,2,6,4
2026-01-11 00:00:00+00:00,14,6,1,1
