time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,20,8,38,8
2026-02-15 00:00:00+00:00,28,12,35,6
2026-02-16 00:00:00+00:00,26,14,135,10
2026-02-17 00:00:00+00:00,7,6,78,16
2026-02-18 00:00:00+00:00,13,7,12,5
2026-02-19 00:00:00+00:00,14,9,3,2
2026-02-20 00:00:00+00:00,12,6,71,6
2026-02-21 00:00:00+00:00,24,14,21,10
2026-02-22 00:00:00+00:00,7,6,38,8
2026-02-23 00:00:00+00:00,33,11,208,17
2026-02-24 00:00:00+00:00,4,4,95,11
2026-02-25 00:00:00+00:00,23,13,68,13
2026-02-26 00:00:00+00:00,79,31,196,13
2026-02-27 00:00:00+00:00,24,19,187,14
