referrer,views_total,views_unique
Google,173,27
github.com,165,10
mole-docs.readthedocs.io,67,7
goodfirstissues.com,5,1
siam.org,4,1
csrc.sdsu.edu,3,2
Bing,3,1
DuckDuckGo,2,2
chatgpt.com,1,1
latintalks.sdsu.edu,1,1
