time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,51,16,108,13
2026-03-12 00:00:00+00:00,43,26,145,18
2026-03-13 00:00:00+00:00,8,7,78,26
2026-03-14 00:00:00+00:00,11,6,40,5
2026-03-15 00:00:00+00:00,19,9,50,11
2026-03-16 00:00:00+00:00,41,10,294,19
2026-03-17 00:00:00+00:00,13,5,235,30
2026-03-18 00:00:00+00:00,18,8,438,33
2026-03-19 00:00:00+00:00,8,6,593,22
2026-03-20 00:00:00+00:00,10,5,294,20
2026-03-21 00:00:00+00:00,13,8,94,10
2026-03-22 00:00:00+00:00,9,4,21,8
2026-03-23 00:00:00+00:00,35,13,130,11
2026-03-24 00:00:00+00:00,9,5,56,10
