time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,12,7,10,4
2026-07-19 00:00:00+00:00,5,5,4,4
2026-07-20 00:00:00+00:00,118,21,95,6
2026-07-21 00:00:00+00:00,58,23,35,9
2026-07-22 00:00:00+00:00,137,25,45,8
2026-07-23 00:00:00+00:00,67,14,28,11
2026-07-24 00:00:00+00:00,24,12,23,6
2026-07-25 00:00:00+00:00,8,8,7,6
2026-07-26 00:00:00+00:00,33,15,7,4
2026-07-27 00:00:00+00:00,27,13,8,4
2026-07-28 00:00:00+00:00,28,14,2,2
2026-07-29 00:00:00+00:00,60,18,92,8
2026-07-30 00:00:00+00:00,147,30,67,7
2026-07-31 00:00:00+00:00,49,18,53,7
