referrer,views_total,views_unique
Google,99,16
github.com,54,11
mole-docs.readthedocs.io,14,8
DuckDuckGo,12,3
ai.sharedai.chat,12,1
Bing,5,3
search.brave.com,5,1
zenodo.org,3,2
csrc.sdsu.edu,1,1
