time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,60,15,131,14
2026-07-09 00:00:00+00:00,21,10,94,15
2026-07-10 00:00:00+00:00,27,13,46,8
2026-07-11 00:00:00+00:00,19,9,13,7
2026-07-12 00:00:00+00:00,82,16,55,11
2026-07-13 00:00:00+00:00,23,9,27,7
2026-07-14 00:00:00+00:00,32,18,6,3
2026-07-15 00:00:00+00:00,13,9,24,5
2026-07-16 00:00:00+00:00,10,7,20,4
2026-07-17 00:00:00+00:00,29,11,16,5
2026-07-18 00:00:00+00:00,12,7,10,4
2026-07-19 00:00:00+00:00,5,5,4,4
2026-07-20 00:00:00+00:00,118,21,95,6
2026-07-21 00:00:00+00:00,58,23,35,9
