referrer,views_total,views_unique
github.com,147,19
Google,74,17
Bing,12,1
chatgpt.com,10,1
mathworks.sharepoint.com,7,1
zenodo.org,3,1
mole-docs.readthedocs.io,2,2
pypi.org,2,2
teams.public.onecdn.static.microsoft,2,1
mole-ose.org,1,1
