time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,14,10,55,16
2025-11-14 00:00:00+00:00,11,8,16,7
2025-11-15 00:00:00+00:00,5,4,61,13
2025-11-16 00:00:00+00:00,3,3,2,2
2025-11-17 00:00:00+00:00,14,13,43,9
2025-11-18 00:00:00+00:00,4,4,25,7
2025-11-19 00:00:00+00:00,9,5,177,7
2025-11-20 00:00:00+00:00,22,13,89,15
2025-11-21 00:00:00+00:00,4,4,24,5
2025-11-22 00:00:00+00:00,33,6,21,6
2025-11-23 00:00:00+00:00,3,3,20,5
2025-11-24 00:00:00+00:00,10,10,105,17
2025-11-25 00:00:00+00:00,2,2,18,6
2025-11-26 00:00:00+00:00,2,2,35,4
