time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,19,9,50,11
2026-03-16 00:00:00+00:00,41,10,294,19
2026-03-17 00:00:00+00:00,13,5,235,30
2026-03-18 00:00:00+00:00,18,8,438,33
2026-03-19 00:00:00+00:00,8,6,593,22
2026-03-20 00:00:00+00:00,10,5,294,20
2026-03-21 00:00:00+00:00,13,8,94,10
2026-03-22 00:00:00+00:00,9,4,21,8
2026-03-23 00:00:00+00:00,35,13,130,11
2026-03-24 00:00:00+00:00,9,5,56,10
2026-03-25 00:00:00+00:00,13,6,73,10
2026-03-26 00:00:00+00:00,40,9,116,9
2026-03-27 00:00:00+00:00,16,10,123,12
2026-03-28 00:00:00+00:00,10,9,99,5
