time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,12.0,8.0,105,14
2025-10-16 00:00:00+00:00,26.0,14.0,85,14
2025-10-17 00:00:00+00:00,9.0,4.0,81,10
2025-10-18 00:00:00+00:00,3.0,3.0,64,6
2025-10-19 00:00:00+00:00,70.0,14.0,14,6
2025-10-20 00:00:00+00:00,51.0,15.0,114,15
2025-10-21 00:00:00+00:00,8.0,6.0,82,12
2025-10-22 00:00:00+00:00,8.0,6.0,40,12
2025-10-23 00:00:00+00:00,4.0,4.0,21,6
2025-10-24 00:00:00+00:00,4.0,4.0,41,11
2025-10-25 00:00:00+00:00,16.0,13.0,13,5
2025-10-26 00:00:00+00:00,18.0,11.0,3,3
2025-10-27 00:00:00+00:00,8.0,7.0,48,11
2025-10-28 00:00:00+00:00,,,44,6
