time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,20.0,10.0,55,3
2025-09-24 00:00:00+00:00,1.0,1.0,36,3
2025-09-25 00:00:00+00:00,5.0,3.0,4,2
2025-09-26 00:00:00+00:00,5.0,4.0,27,9
2025-09-27 00:00:00+00:00,3.0,3.0,21,7
2025-09-28 00:00:00+00:00,,,8,4
2025-09-29 00:00:00+00:00,25.0,9.0,139,8
2025-09-30 00:00:00+00:00,13.0,9.0,21,5
2025-10-01 00:00:00+00:00,2.0,1.0,106,10
2025-10-02 00:00:00+00:00,1.0,1.0,22,2
2025-10-03 00:00:00+00:00,31.0,11.0,227,13
2025-10-04 00:00:00+00:00,12.0,8.0,139,8
2025-10-05 00:00:00+00:00,1.0,1.0,14,5
2025-10-06 00:00:00+00:00,111.0,20.0,122,11
