url_path,views_total,views_unique
/csrc-sdsu/mole,104,27
/csrc-sdsu/mole/tree/cpp_dev/mole2_0_grid_implementation,36,3
/csrc-sdsu/mole/tree/cpp_dev/mole2_0_grid_implementation/cpp/src,30,3
/csrc-sdsu/mole/tree/cpp_dev/mole2_0_grid_implementation/cpp,29,3
/csrc-sdsu/mole/issues,27,10
/csrc-sdsu/mole/pulls,24,10
/csrc-sdsu/mole/tree/cpp_dev/mole2_0_grid_implementation/cpp/src/grids,19,3
/csrc-sdsu/mole/tree/cpp_dev/mole2_0_grid_implementation/cpp/src/include,14,3
/csrc-sdsu/mole/pull/411,12,4
/csrc-sdsu/mole/tree/main,11,6
