time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,11,7,42,13
2026-03-07 00:00:00+00:00,8,4,6,5
2026-03-08 00:00:00+00:00,19,10,5,2
2026-03-09 00:00:00+00:00,137,32,275,17
2026-03-10 00:00:00+00:00,55,22,185,17
2026-03-11 00:00:00+00:00,51,16,108,13
2026-03-12 00:00:00+00:00,43,26,145,18
2026-03-13 00:00:00+00:00,8,7,78,26
2026-03-14 00:00:00+00:00,11,6,40,5
2026-03-15 00:00:00+00:00,19,9,50,11
2026-03-16 00:00:00+00:00,41,10,294,19
2026-03-17 00:00:00+00:00,13,5,235,30
2026-03-18 00:00:00+00:00,18,8,438,33
2026-03-19 00:00:00+00:00,8,6,593,22
