time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,9,5,56,10
2026-03-25 00:00:00+00:00,13,6,73,10
2026-03-26 00:00:00+00:00,40,9,116,9
2026-03-27 00:00:00+00:00,16,10,123,12
2026-03-28 00:00:00+00:00,10,9,99,5
2026-03-29 00:00:00+00:00,78,27,152,7
2026-03-30 00:00:00+00:00,24,16,67,7
2026-03-31 00:00:00+00:00,27,18,148,18
2026-04-01 00:00:00+00:00,37,26,205,16
2026-04-02 00:00:00+00:00,48,25,277,19
2026-04-03 00:00:00+00:00,52,20,76,13
2026-04-04 00:00:00+00:00,14,6,39,7
2026-04-05 00:00:00+00:00,32,13,22,10
2026-04-06 00:00:00+00:00,53,15,352,17
