time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,176,55,97,24
2026-06-11 00:00:00+00:00,34,15,105,9
2026-06-12 00:00:00+00:00,38,7,70,11
2026-06-13 00:00:00+00:00,27,14,17,3
2026-06-14 00:00:00+00:00,59,13,15,4
2026-06-15 00:00:00+00:00,110,22,37,8
2026-06-16 00:00:00+00:00,93,49,138,14
2026-06-17 00:00:00+00:00,69,13,35,8
2026-06-18 00:00:00+00:00,62,20,32,10
2026-06-19 00:00:00+00:00,132,33,54,13
2026-06-20 00:00:00+00:00,73,19,15,12
2026-06-21 00:00:00+00:00,117,24,5,5
2026-06-22 00:00:00+00:00,83,24,36,10
2026-06-23 00:00:00+00:00,88,24,31,7
