time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,128,27,70,10
2026-06-26 00:00:00+00:00,165,35,132,13
2026-06-27 00:00:00+00:00,34,12,20,6
2026-06-28 00:00:00+00:00,19,10,4,4
2026-06-29 00:00:00+00:00,17,8,96,4
2026-06-30 00:00:00+00:00,74,31,39,5
2026-07-01 00:00:00+00:00,72,23,182,12
2026-07-02 00:00:00+00:00,457,91,319,15
2026-07-03 00:00:00+00:00,112,39,69,7
2026-07-04 00:00:00+00:00,13,13,15,6
2026-07-05 00:00:00+00:00,20,11,20,7
2026-07-06 00:00:00+00:00,364,70,293,16
2026-07-07 00:00:00+00:00,216,49,113,20
2026-07-08 00:00:00+00:00,60,15,131,14
