time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,18,8,29,5
2026-08-03 00:00:00+00:00,42,14,69,33
2026-08-04 00:00:00+00:00,57,21,44,14
2026-08-05 00:00:00+00:00,32,9,51,6
2026-08-06 00:00:00+00:00,21,10,20,6
2026-08-07 00:00:00+00:00,19,10,9,4
2026-08-08 00:00:00+00:00,23,14,1,1
2026-08-09 00:00:00+00:00,11,7,46,13
2026-08-10 00:00:00+00:00,5,5,13,6
2026-08-11 00:00:00+00:00,9,6,15,7
2026-08-12 00:00:00+00:00,293,47,221,15
2026-08-13 00:00:00+00:00,81,49,36,10
2026-08-14 00:00:00+00:00,34,13,94,7
2026-08-15 00:00:00+00:00,15,11,16,6
