time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,4,4,41,11
2025-10-25 00:00:00+00:00,16,13,13,5
2025-10-26 00:00:00+00:00,18,11,3,3
2025-10-27 00:00:00+00:00,8,7,48,11
2025-10-28 00:00:00+00:00,1,1,142,8
2025-10-29 00:00:00+00:00,16,13,77,10
2025-10-30 00:00:00+00:00,15,7,31,7
2025-10-31 00:00:00+00:00,29,9,55,13
2025-11-01 00:00:00+00:00,10,8,36,4
2025-11-02 00:00:00+00:00,14,9,13,5
2025-11-03 00:00:00+00:00,36,15,45,11
2025-11-04 00:00:00+00:00,22,14,55,12
2025-11-05 00:00:00+00:00,38,9,41,10
2025-11-06 00:00:00+00:00,13,11,164,7
