time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,61,24,108,10
2026-09-10 00:00:00+00:00,117,21,133,13
2026-09-11 00:00:00+00:00,122,31,128,18
2026-09-12 00:00:00+00:00,81,31,75,5
2026-09-13 00:00:00+00:00,138,40,91,14
2026-09-14 00:00:00+00:00,66,30,79,11
2026-09-15 00:00:00+00:00,85,23,79,9
2026-09-16 00:00:00+00:00,52,18,30,9
2026-09-17 00:00:00+00:00,37,15,53,17
2026-09-18 00:00:00+00:00,74,30,189,15
2026-09-19 00:00:00+00:00,117,39,151,19
2026-09-20 00:00:00+00:00,464,101,240,28
2026-09-21 00:00:00+00:00,157,43,158,21
2026-09-22 00:00:00+00:00,171,40,166,18
