time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,3,3,64,6
2025-10-19 00:00:00+00:00,70,14,14,6
2025-10-20 00:00:00+00:00,51,15,114,15
2025-10-21 00:00:00+00:00,8,6,82,12
2025-10-22 00:00:00+00:00,8,6,40,12
2025-10-23 00:00:00+00:00,4,4,21,6
2025-10-24 00:00:00+00:00,4,4,41,11
2025-10-25 00:00:00+00:00,16,13,13,5
2025-10-26 00:00:00+00:00,18,11,3,3
2025-10-27 00:00:00+00:00,8,7,48,11
2025-10-28 00:00:00+00:00,1,1,142,8
2025-10-29 00:00:00+00:00,16,13,77,10
2025-10-30 00:00:00+00:00,15,7,31,7
2025-10-31 00:00:00+00:00,10,4,28,10
