time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,17,8,96,4
2026-06-30 00:00:00+00:00,74,31,39,5
2026-07-01 00:00:00+00:00,72,23,182,12
2026-07-02 00:00:00+00:00,457,91,319,15
2026-07-03 00:00:00+00:00,112,39,69,7
2026-07-04 00:00:00+00:00,13,13,15,6
2026-07-05 00:00:00+00:00,20,11,20,7
2026-07-06 00:00:00+00:00,364,70,293,16
2026-07-07 00:00:00+00:00,216,49,113,20
2026-07-08 00:00:00+00:00,60,15,131,14
2026-07-09 00:00:00+00:00,21,10,94,15
2026-07-10 00:00:00+00:00,27,13,46,8
2026-07-11 00:00:00+00:00,19,9,13,7
2026-07-12 00:00:00+00:00,82,16,55,11
