time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,17,9,106,18
2026-01-28 00:00:00+00:00,33,9,76,12
2026-01-29 00:00:00+00:00,34,14,141,12
2026-01-30 00:00:00+00:00,85,22,133,20
2026-01-31 00:00:00+00:00,10,8,41,10
2026-02-01 00:00:00+00:00,11,5,53,6
2026-02-02 00:00:00+00:00,13,7,45,8
2026-02-03 00:00:00+00:00,12,7,35,11
2026-02-04 00:00:00+00:00,12,10,95,9
2026-02-05 00:00:00+00:00,18,7,41,7
2026-02-06 00:00:00+00:00,17,11,81,12
2026-02-07 00:00:00+00:00,8,7,32,8
2026-02-08 00:00:00+00:00,17,8,20,6
2026-02-09 00:00:00+00:00,28,14,116,10
