referrer,views_total,views_unique
Google,206,28
github.com,196,13
mole-docs.readthedocs.io,73,10
DuckDuckGo,11,4
goodfirstissues.com,5,1
csrc.sdsu.edu,4,3
search.brave.com,4,1
Bing,3,1
chatgpt.com,1,1
latintalks.sdsu.edu,1,1
