time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-10 00:00:00+00:00,11.0,6.0,42,12
2025-11-11 00:00:00+00:00,10.0,9.0,33,10
2025-11-12 00:00:00+00:00,33.0,9.0,195,26
2025-11-13 00:00:00+00:00,14.0,10.0,55,16
2025-11-14 00:00:00+00:00,11.0,8.0,16,7
2025-11-15 00:00:00+00:00,5.0,4.0,61,13
2025-11-16 00:00:00+00:00,3.0,3.0,2,2
2025-11-17 00:00:00+00:00,14.0,13.0,43,9
2025-11-18 00:00:00+00:00,4.0,4.0,25,7
2025-11-19 00:00:00+00:00,9.0,5.0,177,7
2025-11-20 00:00:00+00:00,22.0,13.0,89,15
2025-11-21 00:00:00+00:00,4.0,4.0,24,5
2025-11-22 00:00:00+00:00,33.0,6.0,21,6
2025-11-23 00:00:00+00:00,,,20,5
