time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,137,46,467,31
2026-04-17 00:00:00+00:00,28,9,232,13
2026-04-18 00:00:00+00:00,60,19,76,9
2026-04-19 00:00:00+00:00,60,23,75,10
2026-04-20 00:00:00+00:00,87,44,264,20
2026-04-21 00:00:00+00:00,90,54,200,37
2026-04-22 00:00:00+00:00,271,77,263,20
2026-04-23 00:00:00+00:00,167,53,133,12
2026-04-24 00:00:00+00:00,141,60,265,19
2026-04-25 00:00:00+00:00,85,50,80,13
2026-04-26 00:00:00+00:00,31,14,55,16
2026-04-27 00:00:00+00:00,301,72,280,19
2026-04-28 00:00:00+00:00,157,47,305,25
2026-04-29 00:00:00+00:00,294,73,229,19
