referrer,views_total,views_unique
github.com,144,14
Google,125,21
mole-docs.readthedocs.io,47,8
DuckDuckGo,16,4
ai.sharedai.chat,12,1
search.brave.com,5,1
csrc.sdsu.edu,4,3
zenodo.org,3,2
chatgpt.com,1,1
latintalks.sdsu.edu,1,1
