time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,10,8,41,10
2026-02-01 00:00:00+00:00,11,5,53,6
2026-02-02 00:00:00+00:00,13,7,45,8
2026-02-03 00:00:00+00:00,12,7,35,11
2026-02-04 00:00:00+00:00,12,10,95,9
2026-02-05 00:00:00+00:00,18,7,41,7
2026-02-06 00:00:00+00:00,17,11,81,12
2026-02-07 00:00:00+00:00,8,7,32,8
2026-02-08 00:00:00+00:00,17,8,20,6
2026-02-09 00:00:00+00:00,28,14,116,10
2026-02-10 00:00:00+00:00,21,10,49,13
2026-02-11 00:00:00+00:00,31,10,97,16
2026-02-12 00:00:00+00:00,134,58,137,15
2026-02-13 00:00:00+00:00,22,10,25,5
